Team,3PA,3P%,ORB,PTS
Golden State Warriors,28.9,0.391,8.4,113.5
Houston Rockets,42.3,0.362,9,112.4
New Orleans Pelicans,28.2,0.362,8.7,111.7
Toronto Raptors,33,0.358,9.8,111.7
Cleveland Cavaliers,32.1,0.372,8.5,110.9
Denver Nuggets,30.9,0.371,11,110
Philadelphia 76ers,29.8,0.369,10.9,109.8
Minnesota Timberwolves,22.5,0.357,10.3,109.5
Los Angeles Clippers,26.8,0.354,10.1,109
Charlotte Hornets,27.2,0.369,10.1,108.2
Los Angeles Lakers,29.1,0.345,10.7,108.1
Oklahoma City Thunder,30.4,0.354,12.5,107.9
Washington Wizards,26.5,0.375,10,106.6
Brooklyn Nets,35.7,0.356,9.7,106.6
Milwaukee Bucks,24.7,0.355,8.4,106.5
Portland Trail Blazers,28.1,0.366,10.2,105.6
Indiana Pacers,24.5,0.369,9.6,105.6
New York Knicks,23.3,0.352,10.5,104.5
Utah Jazz,29.6,0.366,9,104.1
Boston Celtics,30.4,0.377,9.4,104
Phoenix Suns,27.9,0.334,10.3,103.9
Detroit Pistons,28.9,0.373,10.1,103.8
Miami Heat,30.6,0.36,9.3,103.4
Orlando Magic,29.3,0.351,8.8,103.4
Atlanta Hawks,31,0.36,9,103.4
Chicago Bulls,31.1,0.355,9.6,102.9
San Antonio Spurs,24.1,0.352,10.4,102.7
Dallas Mavericks,32.8,0.36,8.1,102.3
Memphis Grizzlies,26.2,0.352,9.5,99.3
Sacramento Kings,24,0.375,9.5,98.8
